"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","OppAdjEM","OppO","OppD","NCAdjEM"
"1","Duke","ACC","21-2","+36.37","124.3","88.0","72.7","+.000","+9.61","107.8","98.2","+5.85"
"2","Virginia","ACC","20-2","+34.99","121.3","86.3","59.3","+.015","+6.80","106.7","99.9","-3.05"
"3","Gonzaga","WCC","23-2","+34.96","128.0","93.1","70.3","+.008","+2.73","105.9","103.1","+2.86"
"4","Michigan St.","B10","19-5","+29.81","119.8","90.0","68.1","-.028","+11.36","110.4","99.0","+3.28"
"5","Tennessee","SEC","22-1","+28.73","124.1","95.3","68.4","+.033","+5.48","105.6","100.1","+1.16"
"6","Michigan","B10","22-2","+28.01","112.6","84.5","65.0","+.013","+6.98","106.7","99.8","-5.24"
"7","Kentucky","SEC","20-3","+27.56","116.3","88.8","66.6","+.053","+7.47","108.1","100.7","+2.24"
"8","North Carolina","ACC","19-4","+26.36","119.3","92.9","75.2","+.033","+10.44","108.9","98.5","+5.90"
"9","Purdue","B10","17-6","+26.24","123.8","97.5","65.7","-.005","+11.98","109.1","97.1","+4.42"
"10","Virginia Tech","ACC","18-5","+24.67","117.5","92.8","63.9","+.009","+4.87","106.7","101.8","-6.08"
"11","Wisconsin","B10","17-7","+24.51","112.7","88.2","63.2","-.049","+11.90","109.1","97.2","+3.04"
"12","Texas Tech","B12","19-5","+23.00","107.2","84.2","66.6","+.010","+6.08","105.8","99.7","-5.53"
"13","Louisville","ACC","17-7","+22.86","116.9","94.0","66.4","-.032","+10.32","108.9","98.5","+6.42"
"14","Auburn","SEC","16-7","+22.65","119.2","96.6","69.4","-.087","+7.91","108.0","100.1","+1.89"
"15","Iowa St.","B12","18-6","+22.45","117.0","94.5","67.8","-.040","+6.90","107.6","100.7","-1.26"
"16","Kansas","B12","18-6","+21.67","114.4","92.7","69.9","+.047","+13.65","110.9","97.2","+10.81"
"17","Nevada","MWC","23-1","+21.57","115.5","93.9","69.2","+.080","+1.56","105.4","103.8","+3.04"
"18","Houston","Amer","23-1","+21.10","112.2","91.1","66.2","+.073","+1.34","103.3","101.9","-4.17"
"19","Maryland","B10","18-6","+21.01","115.0","93.9","66.1","-.016","+7.88","107.6","99.7","-4.74"
"20","Villanova","BE","19-5","+20.49","118.7","98.2","62.9","+.027","+6.96","107.6","100.6","+4.11"
"21","LSU","SEC","19-4","+20.06","116.8","96.7","70.8","+.023","+7.01","107.6","100.6","+2.52"
"22","Florida St.","ACC","18-5","+19.84","112.7","92.9","69.3","+.018","+7.74","107.8","100.1","+0.90"
"23","Texas","B12","14-10","+19.39","112.8","93.4","65.3","-.104","+10.86","109.2","98.3","+5.63"
"24","Buffalo","MAC","20-3","+18.94","113.5","94.5","74.3","+.002","+2.19","105.7","103.5","+1.30"
"25","Iowa","B10","19-5","+18.60","119.2","100.6","70.1","+.084","+7.99","107.3","99.3","-6.66"
"26","Mississippi St.","SEC","16-7","+18.56","116.1","97.5","67.9","-.034","+9.18","109.5","100.4","+2.23"
"27","Cincinnati","Amer","20-4","+17.79","112.8","95.0","62.9","+.029","+1.54","104.5","103.0","-2.35"
"28","Wofford","SC","21-4","+17.70","117.1","99.4","65.2","+.063","+1.39","105.1","103.7","+8.22"
"29","Marquette","BE","20-4","+17.61","112.9","95.3","69.2","+.096","+5.82","106.6","100.7","+0.47"
"30","Kansas St.","B12","18-5","+17.59","105.6","88.0","63.7","+.069","+7.66","107.0","99.3","+0.01"
"31","Clemson","ACC","15-8","+17.55","110.0","92.5","65.8","-.026","+7.70","106.9","99.2","+1.45"
"32","Ohio St.","B10","16-7","+17.41","110.8","93.4","65.6","+.011","+8.26","108.4","100.1","-2.27"
"33","Lipscomb","ASun","20-4","+17.31","109.9","92.6","74.0","-.026","-1.67","103.2","104.9","+6.44"
"34","Baylor","B12","15-8","+17.02","113.4","96.4","65.3","-.068","+5.85","105.7","99.8","-4.27"
"35","TCU","B12","17-6","+16.88","113.3","96.5","68.9","+.067","+7.47","106.9","99.5","-0.00"
"36","Nebraska","B10","13-11","+16.67","111.5","94.8","66.2","-.111","+10.98","108.7","97.7","+0.48"
"37","Washington","P12","19-5","+16.63","108.7","92.1","66.5","+.044","+4.89","106.6","101.7","+3.36"
"38","Florida","SEC","12-11","+16.53","107.2","90.6","63.6","-.091","+10.74","110.2","99.4","+5.53"
"39","North Carolina St.","ACC","17-7","+15.58","112.9","97.3","71.5","+.001","+4.21","105.5","101.3","-11.38"
"40","Oklahoma","B12","15-9","+15.51","108.7","93.2","69.7","+.035","+11.55","108.6","97.1","+8.03"
"41","Mississippi","SEC","16-7","+15.45","113.5","98.0","69.0","+.013","+6.29","107.6","101.4","-0.83"
"42","Syracuse","ACC","17-7","+15.35","108.8","93.5","66.0","+.039","+5.43","106.1","100.7","-0.23"
"43","Utah St.","MWC","18-6","+15.19","111.6","96.4","68.4","-.035","-0.36","104.0","104.4","+0.92"
"44","Saint Mary's","WCC","15-10","+14.77","117.3","102.5","63.8","-.068","+2.91","105.6","102.7","-0.40"
"45","Indiana","B10","13-11","+14.40","108.9","94.5","66.6","-.046","+11.27","109.0","97.7","-0.13"
"46","Alabama","SEC","15-8","+14.14","111.8","97.6","69.4","+.028","+8.41","108.8","100.4","+3.31"
"47","San Francisco","WCC","18-6","+13.99","110.4","96.4","66.9","+.008","-0.11","104.7","104.8","-5.90"
"48","VCU","A10","17-6","+13.91","101.6","87.7","69.0","-.012","+2.32","105.0","102.7","+3.54"
"49","UCF","Amer","17-5","+12.86","109.3","96.5","64.8","+.009","+0.98","103.7","102.8","-2.64"
"50","Creighton","BE","13-11","+12.84","115.0","102.2","69.0","-.050","+9.90","109.7","99.8","+6.09"
"51","Toledo","MAC","20-4","+12.62","109.4","96.8","67.8","+.081","-0.79","103.6","104.4","-5.09"
"52","Butler","BE","14-10","+12.44","111.8","99.3","65.7","-.019","+7.07","107.8","100.7","+3.30"
"53","St. John's","BE","17-7","+12.41","111.5","99.1","70.7","+.044","+4.09","105.2","101.2","-5.73"
"54","New Mexico St.","WAC","20-4","+12.37","111.6","99.2","64.9","+.059","-1.29","103.7","105.0","-2.05"
"55","Oregon","P12","15-9","+12.32","106.2","93.9","64.8","-.064","+2.59","106.1","103.5","+0.39"
"56","Minnesota","B10","16-8","+12.21","109.8","97.6","67.8","+.104","+8.51","108.5","99.9","-2.90"
"57","Arkansas","SEC","14-9","+11.83","107.9","96.0","70.9","-.024","+5.98","106.3","100.3","+0.91"
"58","Fresno St.","MWC","17-6","+11.74","108.9","97.1","67.7","-.047","-1.08","104.2","105.3","-4.22"
"59","Furman","SC","20-5","+11.56","106.7","95.2","66.8","+.058","-1.67","104.7","106.4","-3.12"
"60","Murray St.","OVC","19-4","+11.19","110.9","99.7","69.0","+.007","-5.91","100.4","106.3","-1.30"
"61","Northwestern","B10","12-11","+11.08","105.5","94.4","66.0","-.047","+7.96","106.7","98.7","-5.57"
"62","Penn St.","B10","8-15","+10.92","106.1","95.2","67.2","-.131","+12.09","109.5","97.4","+4.26"
"63","Belmont","OVC","19-4","+10.86","113.6","102.7","71.9","+.052","-1.20","102.8","104.0","+4.79"
"64","Arizona St.","P12","16-7","+10.83","107.9","97.1","71.3","+.030","+3.98","106.5","102.5","+3.08"
"65","Seton Hall","BE","14-9","+10.72","107.9","97.1","69.7","+.049","+8.54","107.8","99.2","+4.78"
"66","Dayton","A10","16-8","+10.61","111.6","101.0","64.6","-.014","+0.72","104.1","103.4","+1.50"
"67","Hofstra","CAA","21-4","+10.33","115.5","105.1","67.1","+.037","-6.14","100.5","106.7","-5.63"
"68","Liberty","ASun","21-5","+10.27","109.5","99.3","62.0","-.006","-5.67","100.7","106.3","-1.99"
"69","Vermont","AE","19-5","+10.13","109.6","99.4","65.8","+.061","-2.60","101.4","104.0","+4.20"
"70","East Tennessee St.","SC","19-7","+10.08","108.6","98.5","66.6","+.033","+0.46","105.7","105.2","-1.69"
"71","Illinois","B10","9-15","+9.82","108.8","99.0","71.5","-.098","+11.78","109.5","97.7","+3.79"
"72","Yale","Ivy","15-4","+9.72","106.9","97.2","70.9","+.101","-0.59","103.8","104.4","-2.09"
"73","Miami FL","ACC","10-13","+9.44","108.8","99.4","66.8","-.111","+7.39","107.6","100.2","-2.48"
"74","Colorado","P12","14-9","+9.27","106.4","97.2","68.6","-.051","+1.37","104.7","103.3","-4.66"
"75","Temple","Amer","17-7","+9.11","107.8","98.7","68.9","+.067","+3.70","105.3","101.6","-0.28"
"76","Providence","BE","14-10","+8.88","104.3","95.4","67.3","-.018","+4.59","107.0","102.4","-2.71"
"77","Pittsburgh","ACC","12-12","+8.88","105.2","96.3","67.9","-.102","+4.57","106.5","101.9","-9.23"
"78","Davidson","A10","17-6","+8.86","106.2","97.4","64.0","+.057","+1.06","104.5","103.5","+1.68"
"79","South Dakota St.","Sum","20-6","+8.84","111.4","102.5","70.6","-.017","-6.15","101.8","108.0","-4.59"
"80","Memphis","Amer","14-10","+8.83","109.3","100.5","74.7","-.034","+3.42","104.7","101.3","+0.79"
"81","Grand Canyon","WAC","14-9","+8.64","107.9","99.2","66.9","-.057","-0.63","103.4","104.1","+0.46"
"82","UNC Greensboro","SC","22-3","+8.60","107.4","98.8","67.9","+.153","-3.02","103.5","106.5","-3.61"
"83","Georgetown","BE","15-9","+8.51","109.4","100.9","72.8","-.020","+3.88","106.7","102.9","-3.63"
"84","Connecticut","Amer","13-11","+8.39","108.9","100.5","69.8","-.096","+0.95","104.0","103.0","-5.10"
"85","Arizona","P12","14-10","+8.34","105.1","96.7","66.8","+.004","+5.23","107.1","101.9","+4.46"
"86","BYU","WCC","16-10","+8.33","111.6","103.2","70.7","+.008","+1.53","105.4","103.9","+0.68"
"87","Northern Kentucky","Horz","20-6","+8.13","109.7","101.5","67.5","-.018","-4.05","102.5","106.5","-2.01"
"88","San Diego","WCC","16-9","+8.09","106.9","98.8","67.0","-.000","+2.28","104.7","102.4","+0.75"
"89","Notre Dame","ACC","13-11","+7.81","109.3","101.4","65.1","-.005","+5.37","106.0","100.6","-4.74"
"90","Oklahoma St.","B12","9-14","+7.59","108.9","101.3","65.6","-.039","+11.01","109.0","98.0","+5.72"
"91","UCLA","P12","12-12","+7.52","106.4","98.9","73.0","-.047","+4.90","107.4","102.5","+3.66"
"92","Rutgers","B10","11-12","+7.40","104.2","96.8","67.6","-.005","+9.20","108.3","99.1","-3.88"
"93","Oregon St.","P12","15-8","+7.39","110.0","102.6","66.2","-.000","+1.26","104.2","103.0","-3.29"
"94","South Carolina","SEC","12-11","+7.19","107.5","100.3","71.2","+.057","+9.73","108.1","98.4","+3.01"
"95","South Florida","Amer","17-6","+7.17","101.7","94.5","67.5","-.009","-3.34","101.8","105.1","-10.06"
"96","Missouri","SEC","11-11","+7.05","104.1","97.0","64.8","+.010","+7.04","108.2","101.1","-0.18"
"97","DePaul","BE","13-9","+6.90","107.9","101.0","69.8","-.009","+2.60","104.9","102.3","-10.30"
"98","Northeastern","CAA","15-9","+6.86","109.8","102.9","66.8","+.011","+0.18","105.4","105.2","+7.01"
"99","USC","P12","13-11","+6.65","107.2","100.5","70.1","-.043","+2.11","104.3","102.2","-1.05"
"100","Akron","MAC","14-9","+6.63","100.8","94.1","65.1","-.097","-1.49","103.8","105.3","-5.29"
"101","Bowling Green","MAC","16-7","+6.50","106.2","99.7","70.1","+.020","-1.10","104.2","105.3","-5.00"
"102","Georgia Tech","ACC","11-13","+6.50","97.9","91.4","67.4","-.060","+6.54","106.6","100.1","-4.42"
"103","Texas St.","SB","19-5","+6.42","103.1","96.7","65.6","+.036","-2.82","102.4","105.3","-4.70"
"104","Old Dominion","CUSA","20-6","+6.39","103.4","97.0","64.2","+.013","-3.74","100.9","104.7","-6.29"
"105","UC Irvine","BW","21-5","+6.21","103.1","96.9","65.1","+.138","-0.74","103.8","104.6","+2.10"
"106","Ball St.","MAC","13-11","+6.11","107.3","101.2","69.6","-.069","+2.28","104.6","102.4","+1.11"
"107","Texas A&M","SEC","9-13","+6.00","106.7","100.7","68.0","-.049","+8.63","107.9","99.3","-0.79"
"108","Utah","P12","13-10","+5.76","113.7","107.9","66.4","+.031","+4.45","105.5","101.0","+0.94"
"109","Utah Valley","WAC","16-7","+5.76","108.1","102.4","68.3","+.050","-0.75","104.1","104.8","+0.77"
"110","Tulsa","Amer","14-10","+5.72","105.2","99.5","69.1","+.058","+4.33","105.8","101.5","-2.70"
"111","Jacksonville St.","OVC","17-8","+5.59","102.8","97.2","67.9","-.026","-2.86","102.2","105.1","-0.94"
"112","Xavier","BE","11-13","+5.49","110.2","104.7","65.0","-.027","+6.21","107.2","101.0","+1.28"
"113","SMU","Amer","12-11","+5.41","113.0","107.6","63.9","-.094","-0.46","102.8","103.3","-5.32"
"114","Loyola Chicago","MVC","16-9","+5.36","103.5","98.2","62.9","+.016","-1.23","102.9","104.1","-0.79"
